Latitude,Longitude
48 23 62.39,-106 57 85.82
48 23 6.24,-106 57 8.29
48 23 62.41,-106 57 79.97
48 23 62.42,-106 57 77.05
48 23 62.42,-106 57 74.14
48 23 62.43,-106 57 71.22
48 23 62.43,-106 57 68.31
48 23 62.42,-106 57 65.39
48 23 62.42,-106 57 62.48
48 23 62.42,-106 57 59.56
48 23 62.42,-106 57 56.66
48 23 62.41,-106 57 53.76
48 23 62.41,-106 57 50.86
48 23 62.41,-106 57 47.96
48 23 62.41,-106 57 45.07
48 23 62.42,-106 57 42.17
48 23 62.43,-106 57 39.28
48 23 62.42,-106 57 36.38
48 23 62.42,-106 57 33.47
48 23 62.41,-106 57 30.56
